Unnamed: 0,accuracy,precision,recall,f1,cohen_kappa,Topsis Score,Rank
bert-base-uncased,0.828125,0.8513392857142856,0.7818452380952378,0.7998528554778549,0.6080987394957986,0.07863094059721226,5.0
distilbert-base-uncased,0.4921875,0.0125,0.003125,0.005,-0.0001644736842105,0.7540636658010976,1.0
roberta-base,0.5078125,0.5078125,1.0,0.656782939282939,,0.2886081031380099,4.0
xlnet-base-cased,0.5390625,0.5386309523809525,0.4451190476190476,0.450252525252525,0.0577007218357837,0.530905640248572,3.0
albert-base-v2,0.2984375,0.354315476190476,0.4484970238095238,0.368086219336219,-0.3243777611277612,0.7490692742760862,2.0
